Error,WEC: ava. windspeed,WEC : max. windspeed,WEC : min. windspeed,WEC: ava. Rotation,WEC: max. Rotation,WEC: min. Rotation,WEC: ava. Power,WEC: max. Power,WEC: min. Power,WEC: ava. Nacel position including cable twisting,WEC: Operating Hours,WEC: Production kWh,WEC: Production minutes,WEC: ava. reactive Power,WEC: max. reactive Power,WEC: min. reactive Power,WEC: ava. available P from wind,WEC: ava. available P technical reasons,WEC: ava. Available P force majeure reasons,WEC: ava. Available P force external reasons,WEC: ava. blade angle A,CS101 : Sys 1 inverter 1 cabinet temp.,CS101 : Sys 1 inverter 2 cabinet temp.,CS101 : Sys 1 inverter 3 cabinet temp.,CS101 : Sys 1 inverter 4 cabinet temp.,CS101 : Sys 1 inverter 5 cabinet temp.,CS101 : Sys 1 inverter 6 cabinet temp.,CS101 : Sys 1 inverter 7 cabinet temp.,CS101 : Sys 2 inverter 1 cabinet temp.,CS101 : Sys 2 inverter 2 cabinet temp.,CS101 : Sys 2 inverter 3 cabinet temp.,CS101 : Sys 2 inverter 4 cabinet temp.,CS101 : Sys 2 inverter 5 cabinet temp.,CS101 : Sys 2 inverter 6 cabinet temp.,CS101 : Sys 2 inverter 7 cabinet temp.,CS101 : Spinner temp.,CS101 : Front bearing temp.,CS101 : Rear bearing temp.,CS101 : Pitch cabinet blade A temp.,CS101 : Pitch cabinet blade B temp.,CS101 : Pitch cabinet blade C temp.,CS101 : Blade A temp.,CS101 : Blade B temp.,CS101 : Blade C temp.,CS101 : Rotor temp. 1,CS101 : Rotor temp. 2,CS101 : Stator temp. 1,CS101 : Stator temp. 2,CS101 : Nacelle ambient temp. 1,CS101 : Nacelle ambient temp. 2,CS101 : Nacelle temp.,CS101 : Nacelle cabinet temp.,CS101 : Main carrier temp.,CS101 : Rectifier cabinet temp.,CS101 : Yaw inverter cabinet temp.,CS101 : Fan inverter cabinet temp.,CS101 : Ambient temp.,CS101 : Tower temp.,CS101 : Control cabinet temp.,CS101 : Transformer temp.,RTU: ava. Setpoint 1
0,4.1,9.5,0.8,0,0.06,0,0,0,0,710,881,939053,6,0,0,0,303,0,303,303,91.95,23,25,24,23,25,24,24,26,26,24,23,-14,0,-50,13,13,13,33,28,30,166,166,166,15,15,15,14,14,14,15,22,12,26,21,25,20,14,23,33,2501
80,9.3,12.6,2.6,0,0.09,0,0,0,0,701,881,939053,6,0,0,0,1587,1587,0,1527,91.93,19,21,20,18,20,20,19,21,21,19,19,-14,0,-50,13,13,13,18,19,18,168,166,168,15,15,15,15,15,15,13,16,14,16,17,18,16,14,17,30,2501
80,9.3,12.6,2.6,0,0.09,0,0,0,0,701,881,939053,6,0,0,0,1587,1587,0,1527,91.93,19,21,20,18,20,20,19,21,21,19,19,-14,0,-50,13,13,13,18,19,18,168,166,168,15,15,15,15,15,15,13,16,14,16,17,18,16,14,17,30,2501
0,5.7,7.4,4.1,9.98,10.23,9.72,0,0,0,-84,881,939053,6,0,0,0,416,416,0,416,9.76,26,26,26,25,26,25,27,26,26,25,26,-14,0,-50,15,14,18,33,33,32,166,165,166,32,33,34,34,15,15,17,23,14,35,23,27,17,26,35,34,2501
0,5.7,7.4,4.1,9.98,10.23,9.72,0,0,0,-84,881,939053,6,0,0,0,416,416,0,416,9.76,26,26,26,25,26,25,27,26,26,25,26,-14,0,-50,15,14,18,33,33,32,166,165,166,32,33,34,34,15,15,17,23,14,35,23,27,17,26,35,34,2501
0,5.7,7.4,4.1,9.98,10.23,9.72,0,0,0,-84,881,939053,6,0,0,0,416,416,0,416,9.76,26,26,26,25,26,25,27,26,26,25,26,-14,0,-50,15,14,18,33,33,32,166,165,166,32,33,34,34,15,15,17,23,14,35,23,27,17,26,35,34,2501
0,5.7,7.4,4.1,9.98,10.23,9.72,0,0,0,-84,881,939053,6,0,0,0,416,416,0,416,9.76,26,26,26,25,26,25,27,26,26,25,26,-14,0,-50,15,14,18,33,33,32,166,165,166,32,33,34,34,15,15,17,23,14,35,23,27,17,26,35,34,2501
0,5.7,7.4,4.1,9.98,10.23,9.72,0,0,0,-84,881,939053,6,0,0,0,416,416,0,416,9.76,26,26,26,25,26,25,27,26,26,25,26,-14,0,-50,15,14,18,33,33,32,166,165,166,32,33,34,34,15,15,17,23,14,35,23,27,17,26,35,34,2501
0,5.7,7.4,4.1,9.98,10.23,9.72,0,0,0,-84,881,939053,6,0,0,0,416,416,0,416,9.76,26,26,26,25,26,25,27,26,26,25,26,-14,0,-50,15,14,18,33,33,32,166,165,166,32,33,34,34,15,15,17,23,14,35,23,27,17,26,35,34,2501
0,5.7,7.4,4.1,9.98,10.23,9.72,0,0,0,-84,881,939053,6,0,0,0,416,416,0,416,9.76,26,26,26,25,26,25,27,26,26,25,26,-14,0,-50,15,14,18,33,33,32,166,165,166,32,33,34,34,15,15,17,23,14,35,23,27,17,26,35,34,2501
